Designator,Mid X,Mid Y,Layer,Rotation
J1,198.4000mm,-68.7400mm,Top,180.0000
J2,203.4800mm,-71.2800mm,Top,180.0000
K1,72.0000mm,-78.6500mm,Top,180.0000
K2,90.0000mm,-78.6500mm,Top,180.0000
K3,108.0000mm,-78.6500mm,Top,180.0000
K4,126.0000mm,-78.6500mm,Top,180.0000
K5,144.0000mm,-78.6500mm,Top,180.0000
K6,162.0000mm,-78.6500mm,Top,180.0000
K7,180.0000mm,-78.6500mm,Top,180.0000
K8,198.0000mm,-78.6500mm,Top,180.0000
K9,216.0000mm,-78.6500mm,Top,180.0000
K10,234.0000mm,-78.6500mm,Top,180.0000
K11,72.0000mm,-95.6500mm,Top,180.0000
K12,90.0000mm,-95.6500mm,Top,180.0000
K13,108.0000mm,-95.6500mm,Top,180.0000
K14,126.0000mm,-95.6500mm,Top,180.0000
K15,144.0000mm,-95.6500mm,Top,180.0000
K16,162.0000mm,-95.6500mm,Top,180.0000
K17,180.0000mm,-95.6500mm,Top,180.0000
K18,198.0000mm,-95.6500mm,Top,180.0000
K19,216.0000mm,-95.6500mm,Top,180.0000
K20,234.0000mm,-95.6500mm,Top,180.0000
K21,72.0000mm,-112.6500mm,Top,180.0000
K22,90.0000mm,-112.6500mm,Top,180.0000
K23,108.0000mm,-112.6500mm,Top,180.0000
K24,126.0000mm,-112.6500mm,Top,180.0000
K25,144.0000mm,-112.6500mm,Top,180.0000
K26,162.0000mm,-112.6500mm,Top,180.0000
K27,180.0000mm,-112.6500mm,Top,180.0000
K28,198.0000mm,-112.6500mm,Top,180.0000
K29,216.0000mm,-112.6500mm,Top,180.0000
K30,234.0000mm,-112.6500mm,Top,180.0000
K31,139.5000mm,-129.6500mm,Top,180.0000
K32,166.5000mm,-129.6500mm,Top,180.0000
K33,234.0000mm,-60.3000mm,Top,180.0000
SW1,218.2500mm,-58.2500mm,Top,180.0000
SW3,101.7500mm,-67.2500mm,Top,90.0000
U1,82.7300mm,-64.2500mm,Top,0.0000